"model","devicename"
"Moto\+G","Motorola Moto G"
"moto\+g\(6\)","Motorola Moto G6"
"moto\+g\(7\)","Motorola Moto G7"
"moto\+g\(8\)","Motorola Moto G8"
"A405FN","Samsung A40"
"A600FN","Samsung A6"
"A805FN","Samsung A80", 
"SM-N975F","Samsung Note 10+"
"G970F","Samsung S10e"
"G390F","Samsung Xcover 4"
"SM-A705FN","Samsung A70"
"SM-N950F","Samsung Note 8"
"SM-G973F","Samsung S10"
"SM-G960","Samsung S9"
"SM-G965","Samsung S9 Plus"
"SM-G95","Samsung S8"
"SM-G388F","Samsung Xcover 3"
"SM-G930F|SM-G935F","Samsung S7 & Edge", 
"SM-G920F|SM-G928F|SM-G925F","Samsung S6 & Edge"
"G900F|G901F|G870F|G903F","Samsung S5"
"G800F","Samsung S5 mini"
"I9295","Samsung S4 Active"
"I9505|I9506|I9195","Samsung S4"
"SM-A500FU","Samsung A5", 
"SM-A300FU","Samsung A3"
"SM-N910F","Samsung Note 4"
"N9005|SM-N900","Samsung Note 3"
"SM-T550","Samsung Tab A"
"SM-T530|SM-T535","Samsung Tab 4"
"G850F","Samsung Alpha"
"SM-J5","Samsung J5", 
"SM-A5","Samsung A5"
"SM-A3","Samsung A3"
"SM-G975F","Samsung S10 Plus"
"SM-J","Samsung SM-J"
"SM-G","Samsung SM-G"
"SM-A","Samsung SM-A"
"SM-T","Various Samsung Tablet"
"GT-|SM-","Various Samsung", 
"H8324","Sony XZ2 Compact"
"F8331","Sony Xperia XZ"
"G8231","Sony XZs"
"F3111","Sony Xperia XA"
"G8341|G8441","Sony XZ1"
"G8141","Sony XZ Premium"
"F8131","Sony X Performance"
"Xperia|F5121|F3311|E5603","Sony Xperia (div)", 
"E6853","Sony Xperia Z5 Premium"
"E6653","Sony Xperia Z5"
"H9436","Sony Xperia XZ3"
"E5823","Sony Xperia Z5 Compact"
"E6553","Sony Z3+"
"D6603","Sony Z3"
"D5803","Sony Z3 Compact"
"D6503","Sony Z2", 
"HTC\+One_M8","HTC One M8"
"HTC\+One\+Build","HTC One M7"
"HTC","Various HTC", 
"Pixel\+Build","Google Pixel"
"Pixel\+XL\+Build","Pixel XL"
"Pixel\+2","Pixel 2", 
"Nexus\+6P","Nexus 6P"
"Nexus\+6\+Build","Nexus 6"
"Nexus\+5X","Nexus 5X", 
"LG-D855","LG G3"
"LG-","LG", 
"ASUS","Various ASUS"
"Lenovo","Various Lenovo"
"H4113","Sony XA2"
"D2203|ST26i|C2105|D2403|E2303|C6903|D5503|C6603","Various Sony", 
"HUAWEIPOT-L21","Huawei P Smart 2019"
"HUAWEIMAR-L21A","Huawei P30 Lite"
"VOG-L292","Huawei P30 Pro"
"LYA-L29","Huawei Mate 20 Pro"
"FIG-LX1","Huawei P Smart"
"EML-L29","Huawei P20"
"HUAWEIFRD-L09","Huawei Honor 8"
"HONORPLK","Huawei Honor 7"
"H60-L04","Huawei Honor 6"
"RNE-L21","Huawei Mate 10"
"huaweieva|HUAWEIEVA|SLA-L22","Huawei P9"
"HuaweiALE|HUAWEI-GRA|HUAWEIGRA","Huawei P8"
"HUAWEISTF-L09","Huawei Honor 9"
"HUAWEIVNS-L31","Huawei P9"
"HUAWEIVTR-L29|HUAWEIWAS-LX1","Huawei P10"
"BLA-L29","Huawei Mate 10 Pro"
"HUAWEIVKY-L29","Huawei P10"
"ANE-LX1","Huawei P20 Lite"
"HUAWEILON-L29|LON-29","Huawei Mate 9"
"HUAWEICLT-L29","Huawei P20 Pro"
"HUAWEISNE-L21","Huawei Mate 10 Lite"
"HUAWEIVOG-L29","Huawei P30 Pro"
"HUAWEIMRD-LX1","Huawei Y6"
"HUAWEIELE-L2901","Huawei P30", 
"HONOR","Various Huawei Honor"
"HUAWEI|Huawei","Various Huawei", 
"Mi\+9T","Xiaomi Mi 9T"
"Mi\+A2","Xiaomi Mi A2"
"MI\+8\+Pro","Xiaomi Mi 8 Pro", 
"TA-1021","Nokia 6"
"Nokia","Various Nokia"
"GM1913","OnePlus 7 Pro"
"ONEPLUS\+A6013","OnePlus 6T"
"ONEPLUS|A0001","OnePlus"
"ONEPLUS|AC2003","OnePlus Nord 5G"
